cell_id	CTSS
cell_000001	3
cell_000002	0
cell_000003	0
cell_000004	8
cell_000005	1
cell_000006	8
cell_000007	3
cell_000008	3
cell_000009	0
cell_000010	3
cell_000011	3
cell_000012	3
cell_000013	7
cell_000014	1
cell_000015	2
cell_000016	3
cell_000017	0
cell_000018	4
cell_000019	4
cell_000020	0
cell_000021	1
cell_000022	5
cell_000023	0
cell_000024	7
cell_000025	0
cell_000026	2
cell_000027	4
cell_000028	0
cell_000029	5
cell_000030	0
cell_000031	0
cell_000032	2
cell_000033	1
cell_000034	4
cell_000035	3
cell_000036	3
cell_000037	1
cell_000038	3
cell_000039	3
cell_000040	4
cell_000041	1
cell_000042	5
cell_000043	4
cell_000044	2
cell_000045	1
cell_000046	2
cell_000047	2
cell_000048	3
cell_000049	1
cell_000050	0
cell_000051	3
cell_000052	0
cell_000053	0
cell_000054	2
cell_000055	0
cell_000056	1
cell_000057	0
cell_000058	2
cell_000059	0
cell_000060	2
cell_000061	2
cell_000062	1
cell_000063	0
cell_000064	2
cell_000065	1
cell_000066	3
cell_000067	2
cell_000068	1
cell_000069	0
cell_000070	0
cell_000071	0
cell_000072	3
cell_000073	1
cell_000074	1
cell_000075	3
cell_000076	1
cell_000077	0
cell_000078	0
cell_000079	1
cell_000080	1
cell_000081	1
cell_000082	2
cell_000083	1
cell_000084	1
cell_000085	0
cell_000086	1
cell_000087	0
cell_000088	0
cell_000089	2
cell_000090	0
cell_000091	1
cell_000092	2
cell_000093	1
cell_000094	2
cell_000095	0
cell_000096	1
cell_000097	4
cell_000098	2
cell_000099	0
cell_000100	3
cell_000101	2
cell_000102	0
cell_000103	0
cell_000104	0
cell_000105	2
cell_000106	1
cell_000107	0
cell_000108	1
cell_000109	2
cell_000110	0
cell_000111	1
cell_000112	2
cell_000113	2
cell_000114	2
cell_000115	0
cell_000116	1
cell_000117	1
cell_000118	0
cell_000119	1
cell_000120	1
cell_000121	2
cell_000122	4
cell_000123	1
cell_000124	4
cell_000125	1
cell_000126	1
cell_000127	2
cell_000128	0
cell_000129	5
cell_000130	1
cell_000131	0
cell_000132	1
cell_000133	1
cell_000134	0
cell_000135	0
cell_000136	0
cell_000137	0
cell_000138	0
cell_000139	0
cell_000140	0
cell_000141	0
cell_000142	0
cell_000143	0
cell_000144	0
cell_000145	0
cell_000146	0
cell_000147	0
cell_000148	0
cell_000149	1
cell_000150	1
cell_000151	0
cell_000152	0
cell_000153	0
cell_000154	0
cell_000155	1
cell_000156	0
cell_000157	0
cell_000158	0
cell_000159	0
cell_000160	0
cell_000161	0
cell_000162	0
cell_000163	0
cell_000164	0
cell_000165	0
cell_000166	0
cell_000167	0
cell_000168	0
cell_000169	0
cell_000170	0
cell_000171	0
cell_000172	0
cell_000173	0
cell_000174	2
cell_000175	1
cell_000176	0
cell_000177	3
cell_000178	0
cell_000179	1
cell_000180	4
cell_000181	4
cell_000182	1
cell_000183	0
cell_000184	1
cell_000185	2
cell_000186	0
cell_000187	4
cell_000188	0
cell_000189	1
cell_000190	1
cell_000191	1
cell_000192	1
cell_000193	0
cell_000194	3
cell_000195	2
cell_000196	1
cell_000197	0
cell_000198	3
cell_000199	1
cell_000200	0
cell_000201	0
cell_000202	3
cell_000203	3
cell_000204	2
cell_000205	0
cell_000206	4
cell_000207	0
cell_000208	1
cell_000209	1
cell_000210	2
cell_000211	3
cell_000212	2
cell_000213	3
cell_000214	2
cell_000215	2
cell_000216	4
cell_000217	4
cell_000218	4
cell_000219	1
cell_000220	4
cell_000221	0
cell_000222	1
cell_000223	0
cell_000224	0
cell_000225	2
cell_000226	0
cell_000227	3
cell_000228	3
cell_000229	3
cell_000230	0
cell_000231	3
cell_000232	1
cell_000233	5
cell_000234	0
cell_000235	0
cell_000236	4
cell_000237	1
cell_000238	1
cell_000239	0
cell_000240	4
cell_000241	0
cell_000242	3
cell_000243	0
cell_000244	0
cell_000245	0
cell_000246	2
cell_000247	0
cell_000248	3
cell_000249	0
cell_000250	0
cell_000251	0
cell_000252	0
cell_000253	1
cell_000254	3
cell_000255	0
cell_000256	2
cell_000257	0
cell_000258	2
cell_000259	0
cell_000260	0
cell_000261	2
cell_000262	0
cell_000263	1
cell_000264	0
cell_000265	0
cell_000266	0
cell_000267	0
cell_000268	1
cell_000269	3
cell_000270	1
cell_000271	0
cell_000272	0
cell_000273	0
cell_000274	1
cell_000275	0
cell_000276	4
cell_000277	0
cell_000278	2
cell_000279	1
cell_000280	0
cell_000281	0
cell_000282	0
cell_000283	1
cell_000284	0
cell_000285	0
cell_000286	0
cell_000287	0
cell_000288	1
cell_000289	0
cell_000290	0
cell_000291	0
cell_000292	0
cell_000293	3
cell_000294	1
cell_000295	0
cell_000296	2
cell_000297	0
cell_000298	0
cell_000299	0
cell_000300	0
cell_000301	0
cell_000302	1
cell_000303	0
cell_000304	0
cell_000305	0
cell_000306	0
cell_000307	2
cell_000308	0
cell_000309	0
cell_000310	0
cell_000311	0
cell_000312	0
cell_000313	4
cell_000314	0
cell_000315	1
cell_000316	0
cell_000317	0
cell_000318	1
cell_000319	1
cell_000320	1
cell_000321	2
cell_000322	1
cell_000323	0
cell_000324	0
cell_000325	0
cell_000326	0
cell_000327	1
cell_000328	0
cell_000329	0
cell_000330	1
cell_000331	2
cell_000332	1
cell_000333	0
cell_000334	1
cell_000335	1
cell_000336	1
cell_000337	0
cell_000338	0
cell_000339	1
cell_000340	2
cell_000341	0
cell_000342	1
cell_000343	2
cell_000344	0
cell_000345	1
cell_000346	1
cell_000347	0
cell_000348	1
cell_000349	1
cell_000350	1
cell_000351	0
cell_000352	1
cell_000353	0
cell_000354	1
cell_000355	0
cell_000356	1
cell_000357	0
cell_000358	0
cell_000359	0
cell_000360	0
cell_000361	0
cell_000362	0
cell_000363	1
cell_000364	3
cell_000365	3
cell_000366	2
cell_000367	2
cell_000368	1
cell_000369	2
cell_000370	0
cell_000371	2
cell_000372	0
cell_000373	0
cell_000374	1
cell_000375	1
cell_000376	1
cell_000377	3
cell_000378	1
cell_000379	1
cell_000380	1
cell_000381	0
cell_000382	0
cell_000383	1
cell_000384	2
cell_000385	0
cell_000386	0
cell_000387	1
cell_000388	1
cell_000389	0
cell_000390	2
cell_000391	0
cell_000392	1
cell_000393	1
cell_000394	1
cell_000395	1
cell_000396	1
cell_000397	2
cell_000398	0
cell_000399	2
cell_000400	0
cell_000401	2
cell_000402	1
cell_000403	1
