cell_id	donor_id	C1	C2	C3	scaled_age	sex	scaled_log_nUMI	percent_mito	gPC1	gPC2	gPC3	gPC4	gPC5	ePC1	ePC2	ePC3	ePC4	ePC5
cell_000001	donor_001	0.19740873140019422	-0.6227030953534379	-0.49212293771026683	-0.229553	M	2.077966	0.01052	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-1.106566	-0.195717	-1.659174	0.551221	0.094126
cell_000002	donor_001	-1.5577376766151654	-0.05972847311795402	-1.1252461693127553	-0.229553	M	0.566613	0.039454	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.084377	0.708899	-1.382791	1.209665	-1.744175
cell_000003	donor_001	-1.1790591976970952	-1.1989910508979558	-0.6679750941501805	-0.229553	M	1.490812	0.047634	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.518202	0.004448	-0.250936	-0.116894	-0.558523
cell_000004	donor_001	0.975384392035022	0.9032198225518488	0.5597266257424617	-0.229553	M	-2.500282	0.012825	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.874767	-1.569367	0.650856	0.685503	0.494403
cell_000005	donor_001	0.04591068611086037	-0.6142466002188245	-1.7108102637963594	-0.229553	M	0.611794	0.025468	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.120791	1.763902	1.241787	0.008989	0.807957
cell_000006	donor_001	-0.22689512123769812	1.9520800490969874	-0.20957731082320993	-0.229553	M	-0.01841	0.01451	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.748704	0.058676	1.220994	-0.233241	-0.070957
cell_000007	donor_001	0.8882151957220334	1.1736344267823922	0.7611939443562132	-0.229553	M	-1.231608	0.045242	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.617712	0.223744	1.081834	-0.955596	0.627775
cell_000008	donor_001	0.06103568244807227	0.7840124932131853	0.5756133687702071	-0.229553	M	0.350753	0.012901	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.440222	-1.541303	0.068382	-0.187504	-0.929881
cell_000009	donor_001	1.1938400790730537	-0.27439052527875857	-0.8932039566439413	-0.229553	M	-0.092592	0.031411	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.505111	1.864257	1.066644	0.481063	0.522352
cell_000010	donor_001	-0.27378206707550123	0.5791766896600361	0.49873042133393897	-0.229553	M	1.621973	0.03772	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.049964	-0.197747	2.088868	1.082651	0.88434
cell_000011	donor_001	1.97439803305977	-0.03981372095381942	-0.6525889880006088	-0.229553	M	-1.640175	0.002828	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-2.186843	0.205986	1.260588	0.466559	0.29491
cell_000012	donor_001	-0.967460536678763	0.5990626731486541	-1.909093359299338	-0.229553	M	-0.157517	0.056636	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.199186	-1.356002	0.797517	0.439667	1.000533
cell_000013	donor_001	0.49279266212483286	1.5647921289760907	0.7488529192215727	-0.229553	M	-0.205221	0.013121	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.308055	0.265475	0.328892	0.561214	-0.701618
cell_000014	donor_001	0.9596579565273838	-1.6413304846291334	-1.40066450970712	-0.229553	M	-0.997878	0.013066	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.174702	-0.294566	-1.888786	1.076096	-0.101838
cell_000015	donor_001	-0.31481475141592424	0.015988411286889367	-0.26893470159279587	-0.229553	M	0.312707	0.035105	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.912505	0.507366	0.963608	-0.847679	0.054079
cell_000016	donor_001	1.4661805215931933	-2.038490482357433	-0.2576004510930156	-0.229553	M	-0.976507	0.032018	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.853334	0.142487	-0.40423	-0.183114	-0.634094
cell_000017	donor_001	-1.610616427215293	-0.16416929333124386	-0.5433092232383214	-0.229553	M	-1.05059	0.024389	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.726812	1.464712	-1.395279	0.225177	0.017495
cell_000018	donor_001	-0.4241900884849547	0.16923261321422992	0.07741208894377306	-0.229553	M	1.401261	0.013962	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.546635	-1.757668	0.403909	0.609198	0.250116
cell_000019	donor_001	1.72482951689596	0.5200416978512574	-1.5350036959980902	-0.229553	M	1.259139	0.040496	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.588654	0.685081	0.286033	-0.085518	-0.034231
cell_000020	donor_001	-1.5049996871396614	-0.28159221167472415	-0.49620216587507165	-0.229553	M	-1.529205	0.044935	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.385074	-0.239066	-1.324157	0.829107	-2.273383
cell_000021	donor_001	0.0045053385560918655	-0.16255810871383744	-1.3540226940211444	-0.229553	M	1.714822	0.044926	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.239038	0.98961	-1.690789	0.369647	0.547578
cell_000022	donor_001	-0.0618729017786454	1.9905993876644	-0.6332480309861587	-0.229553	M	-2.143921	0.034226	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.490004	-0.132206	0.002874	0.771671	-0.356885
cell_000023	donor_001	1.8285159509954174	-0.7432842207971242	0.26353751758447275	-0.229553	M	-0.203794	0.019293	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.172829	1.979945	-1.697388	0.426946	-0.987525
cell_000024	donor_001	0.09714098706355362	2.4272625846069724	-0.1988131790243462	-0.229553	M	-0.677645	0.020823	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.371489	-1.21163	0.793097	-1.245994	0.143982
cell_000025	donor_001	-0.23352273435837353	-0.033743054283278874	0.4686262104785571	-0.229553	M	0.561205	0.047858	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.305494	0.237647	-0.484556	-0.482136	-2.626597
cell_000026	donor_001	0.5805497805010846	0.3706260581129555	1.2821377444303368	-0.229553	M	1.42128	0.042146	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.107498	0.745934	0.824245	0.567572	-0.462002
cell_000027	donor_001	1.8415363898791126	1.5125982901600736	0.9008623180895489	-0.229553	M	-1.673959	0.021725	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.104499	-1.736396	-0.220587	0.778893	-0.084811
cell_000028	donor_001	-1.4561713315808116	0.43713620703204586	-1.4859015914270837	-0.229553	M	0.760932	0.028604	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.073598	0.287937	0.673921	-0.427152	2.140119
cell_000029	donor_001	1.7151255395849372	0.817503991448987	0.6436383680927649	-0.229553	M	0.138489	0.036777	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.007807	0.751352	-1.428564	-0.23832	0.901154
cell_000030	donor_001	-0.022574024184888294	-0.4439952683246439	0.05027252878837941	-0.229553	M	0.659431	0.031847	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.021875	0.537227	-0.486838	-0.917071	0.308861
cell_000031	donor_001	0.35444675649600993	-0.2174592139164459	-2.157822099229192	-0.229553	M	0.52096	0.019824	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.287306	0.421772	0.309013	-0.579875	1.067926
cell_000032	donor_001	1.3396093467945414	0.24356946076263047	0.0035394826412442136	-0.229553	M	0.545121	0.041921	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.221711	0.231263	-1.460243	1.423379	0.056727
cell_000033	donor_001	-0.3110606136048989	0.47903952774842273	1.030155663321801	-0.229553	M	-0.23237	0.012037	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.886509	0.212564	4.075179	1.160842	1.57672
cell_000034	donor_001	1.2085153228252388	0.2133591979850911	0.41076631924753654	-0.229553	M	0.386257	0.061488	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.945114	0.429865	-0.93117	-0.965071	1.004564
cell_000035	donor_001	-0.958673910590713	0.21202085879140073	-0.17627135832147547	-0.229553	M	0.223156	0.032379	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-1.149082	0.031593	-1.494036	0.972419	-0.298016
cell_000036	donor_001	-0.5603038082328983	0.5289545525514404	0.3728451975935296	-0.229553	M	-0.496955	0.00156	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.308458	-0.636865	0.476471	1.48057	-0.109611
cell_000037	donor_001	0.2361496765223139	-1.708183274412275	-0.04334607071478088	-0.229553	M	-0.282424	0.033206	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.06076	-2.073496	-0.164467	0.098553	0.188141
cell_000038	donor_001	0.10469369835006662	-0.14390875241085566	-0.4898868092721169	-0.229553	M	-1.790476	0.017746	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.784583	-1.973397	1.341601	-0.534346	0.234571
cell_000039	donor_001	1.1286187219489732	-1.0066999157272405	0.006174444142473477	-0.229553	M	0.329332	0.0357	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.841025	-0.447302	0.076173	-0.522173	0.525498
cell_000040	donor_001	0.7535260091015863	0.9055961711334877	-1.2548522101998234	-0.229553	M	0.176955	0.036985	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.94274	-2.053531	-1.011853	-0.049122	-0.611811
cell_000041	donor_001	-0.15809266622792095	-1.7900171798556619	0.12688477638550438	-0.229553	M	-0.343006	0.039703	0.020547	0.026188	-0.001383	-0.022784	-0.008584	0.175876	0.328596	-1.246615	1.116777	0.473021
cell_000042	donor_001	-0.5180259304771558	0.08975254241478064	-1.1011536278897005	-0.229553	M	-1.744359	0.017855	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.806335	2.12688	0.596199	-0.539521	1.257017
cell_000043	donor_001	2.1373333181744867	1.046655454131208	0.10993535051351151	-0.229553	M	-0.278206	0.023578	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.358177	-1.484117	1.108375	-0.903665	0.864776
cell_000044	donor_001	0.8202247407127733	-0.6208118434672332	0.5575387919645024	-0.229553	M	-1.092191	0.020072	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-0.436119	-1.272445	0.218329	2.281338	0.611988
cell_000045	donor_001	-1.816676859674334	-0.03196255455113726	-0.6777845815935566	-0.229553	M	0.523025	0.045704	0.020547	0.026188	-0.001383	-0.022784	-0.008584	1.568951	2.144342	0.262227	-0.599248	1.433055
cell_000046	donor_001	0.2692095388846251	-0.4233958527978155	0.5327909361652197	-0.229553	M	-1.281726	0.016064	0.020547	0.026188	-0.001383	-0.022784	-0.008584	-1.311133	-0.446829	0.887919	-1.869771	0.533887
