cell_id	donor_id	cytotoxicity	treg_activation	central_memory	scaled_age	sex	scaled_log_nUMI	percent_mito	gPC1	gPC2	gPC3	gPC4	gPC5	ePC1	ePC2	ePC3	ePC4	ePC5
cell_000001	donor_001	1.065980	0.157049	-0.158635	-0.217768	M	1.914101	0.03313	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	1.863265	-0.66974	2.691575	1.241924	0.832115
cell_000002	donor_001	-1.035654	-1.674683	-0.486308	-0.217768	M	2.191788	0.05775	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	-1.040478	0.909682	0.603938	-2.11961	-1.4046
cell_000003	donor_001	-0.053783	1.767930	0.130275	-0.217768	M	1.435865	0.05612	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	0.357628	-0.1333	-0.516478	1.078949	-0.883779
cell_000004	donor_001	0.982740	-0.499296	-1.184944	-0.217768	M	2.317291	0.05306	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	-0.455241	-0.64703	0.510169	-1.719458	-0.497672
cell_000005	donor_001	-0.965117	-0.725226	2.128470	-0.217768	M	2.082424	0.01742	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	-1.722765	-0.312875	0.723049	0.740896	-0.727598
cell_000006	donor_001	-0.821387	0.838489	-0.902927	-0.217768	M	2.060877	0.01026	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	0.533322	-0.185163	1.361085	-0.129963	-2.973047
cell_000007	donor_001	0.931573	0.384951	-0.156638	-0.217768	M	2.780091	0.04522	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	0.894681	-0.459099	-0.2742	0.335923	-1.424708
cell_000008	donor_001	-0.040763	-0.654788	0.446072	-0.217768	M	1.847007	0.05754	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	0.074654	0.534497	0.364064	-0.598931	0.991932
cell_000009	donor_001	-0.454983	-1.225606	-1.277938	-0.217768	M	2.136906	0.05326	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	-0.997496	-0.625522	-0.136001	0.295468	-0.324543
cell_000010	donor_001	0.172588	1.579091	0.159992	-0.217768	M	2.040108	0.03026	-0.01355	-0.016571	-0.015669	0.029854	-0.004875	1.228587	0.295286	0.075658	0.260136	0.732906
